"Type","Pkg","Time","Time(ms)","Interv(ms)","Count","OpPkg","OpMet"
"RTC_WAKEUP","com.android.providers.calendar","+21h46m29s388ms","78389388","0","0","com.android.providers.calendar","broadcastIntent"
"RTC_WAKEUP","com.google.android.gsf","+15m29s229ms","929229","1800000","0","com.google.android.gsf","broadcastIntent"
"RTC","com.android.updater","+5d18h45m31s420ms","499531420","604800000","0","com.android.updater","startService"
"RTC","com.miui.supermarket","+17h22m55s451ms","62575451","86400000","1","com.miui.supermarket","startService"
"RTC","com.android.updater","+17h9m31s379ms","61771379","86400000","1","com.android.updater","startService"
"RTC","android","+16h22m27s346ms","58947346","0","0","android","broadcastIntent"
"RTC","com.android.providers.calendar","+5h45m31s795ms","20731795","0","0","com.android.providers.calendar","broadcastIntent"
"RTC","android","+27s346ms","27346","0","0","android","broadcastIntent"
"ELAPSED_WAKEUP","android","+11h45m13s686ms","42313686","43200000","0","android","broadcastIntent"
"ELAPSED","android","+20d4h22m27s385ms","1743747385","0","0","android","broadcastIntent"
"ELAPSED","com.android.updater","+1d11h45m13s686ms","128713686","86400000","0","com.android.updater","startService"
"ELAPSED","com.android.vending","+23h55m20s36ms","86120036","86400000","1","com.android.vending","broadcastIntent"
"ELAPSED","android","+6m38s496ms","398496","0","0","android","broadcastIntent"
