"Proc","Created count","Total created time","Total created time(ms)","Total created time(%)","Max created time(ms)","Avg created time(ms)","Restart count","Min restart time(ms)","Avg restart time(ms)","Restart after kill count","Min restart after kill time(ms)","Avg restart after kill time(ms)"
"com.miui.supermarket","1","14m26s676ms","866676","96%","866676","866676","0","0","","0","0",""
"com.google.process.gapps","1","14m46s765ms","886765","98%","886765","886765","0","0","","0","0",""
"com.android.voicedialer","1","14m25s345ms","865345","95%","865345","865345","0","0","","0","0",""
"com.android.updater","1","14m35s935ms","875935","97%","875935","875935","0","0","","0","0",""
"com.android.launcher","1","14m47s897ms","887897","98%","887897","887897","0","0","","0","0",""
"com.android.gallery","1","14m24s454ms","864454","95%","864454","864454","0","0","","0","0",""
"com.android.defcontainer","1","11m58s181ms","718181","79%","718181","718181","0","0","","0","0",""
"com.android.settings","1","14m35s534ms","875534","97%","875534","875534","0","0","","0","0",""
"com.android.inputmethod.latin","1","14m48s447ms","888447","98%","888447","888447","0","0","","0","0",""
"com.android.phone","1","14m48s7ms","888007","98%","888007","888007","0","0","","0","0",""
"com.google.android.partnersetup","1","14m29s989ms","869989","96%","869989","869989","0","0","","0","0",""
"com.android.vending","1","14m38s627ms","878627","97%","878627","878627","0","0","","0","0",""
"com.android.systemui","1","14m48s597ms","888597","98%","888597","888597","0","0","","0","0",""
"com.android.providers.calendar","1","14m34s564ms","874564","96%","874564","874564","0","0","","0","0",""
"com.android.bluetooth","1","2m36s353ms","156353","17%","156353","156353","0","0","","0","0",""
"com.google.android.gm","1","14m31s390ms","871390","96%","871390","871390","0","0","","0","0",""
"com.sonymobile.chkbugreport.testapp","1","26s997ms","26997","2%","26997","26997","0","0","","0","0",""
"android.process.media","1","14m36s606ms","876606","97%","876606","876606","0","0","","0","0",""
"com.miui.backup","1","2m35s251ms","155251","17%","155251","155251","0","0","","0","0",""
"com.svox.pico","1","11m56s840ms","716840","79%","716840","716840","0","0","","0","0",""
"com.miui.antispam","1","10s420ms","10420","1%","10420","10420","0","0","","0","0",""
"com.google.android.talk","1","14m26s436ms","866436","96%","866436","866436","0","0","","0","0",""
"com.miui.notes","1","14m35s134ms","875134","97%","875134","875134","0","0","","0","0",""
"com.android.email","1","2m35s642ms","155642","17%","155642","155642","0","0","","0","0",""
"com.android.deskclock","1","14m34s774ms","874774","96%","874774","874774","0","0","","0","0",""
"com.android.mms","1","14m28s257ms","868257","96%","868257","868257","0","0","","0","0",""
"com.miui.uac","1","11m57s190ms","717190","79%","717190","717190","0","0","","0","0",""
"com.sonymobile.chkbugreport.testapp:ext1","1","25s585ms","25585","2%","25585","25585","0","0","","0","0",""
"android.process.acore","1","14m46s715ms","886715","98%","886715","886715","0","0","","0","0",""
