"Pkg","Cls","Created count","Total created time","Total created time(ms)","Total created time(%)","Max created time(ms)","Avg created time(ms)"
"com.android.inputmethod.latin",".LatinIME","1","14m48s57ms","888057","98%","888057","888057"
"com.android.email",".service.EmailBroadcastProcessorService","1","480ms","480","0%","480","480"
"com.google.android.gm",".downloadprovider.DownloadService","1","3s13ms","3013","0%","3013","3013"
"com.android.stk",".StkAppService","1","14m26s686ms","866686","96%","866686","866686"
"com.android.providers.calendar",".CalendarAppWidgetService","3","2s102ms","2102","0%","1722","700"
"com.google.android.gsf",".checkin.EventLogService","1","1s511ms","1511","0%","1511","1511"
"com.android.providers.downloads",".DownloadService","1","6s176ms","6176","0%","6176","6176"
"com.google.android.backup",".BackupTransportService","1","14m48s707ms","888707","98%","888707","888707"
"com.android.providers.media",".MediaScannerService","1","4s714ms","4714","0%","4714","4714"
"com.google.android.location",".NetworkLocationService","1","14m45s354ms","885354","98%","885354","885354"
"com.google.android.gsf",".gtalkservice.service.GTalkService","1","14m26s115ms","866115","96%","866115","866115"
"com.google.android.partnersetup",".AppHiderService","1","550ms","550","0%","550","550"
"com.android.phone",".BluetoothHeadsetService","1","14m45s624ms","885624","98%","885624","885624"
"com.google.android.gsf",".loginservice.GoogleLoginService","4","6s135ms","6135","0%","4444","1533"
"com.google.android.gsf",".checkin.CheckinService","1","1s591ms","1591","0%","1591","1591"
"com.miui.supermarket",".model.AppUpdateService","1","14m26s486ms","866486","96%","866486","866486"
"com.android.updater",".UpdaterBackgroundService","1","241ms","241","0%","241","241"
"com.android.email","com.android.exchange.SyncManager","1","570ms","570","0%","570","570"
"com.android.defcontainer",".DefaultContainerService","4","250ms","250","0%","90","62"
"com.android.providers.calendar",".EmptyService","1","6s456ms","6456","0%","6456","6456"
"com.android.bluetooth",".opp.BluetoothOppService","1","3s714ms","3714","0%","3714","3714"
"com.google.android.gsf",".update.SystemUpdateService","1","551ms","551","0%","551","551"
"com.google.android.talk",".videochat.RefreshCameraStateProcessorService","1","1s832ms","1832","0%","1832","1832"
"com.android.systemui",".statusbar.StatusBarService","1","14m48s377ms","888377","98%","888377","888377"
"com.android.mms",".transaction.SmsReceiverService","1","2s893ms","2893","0%","2893","2893"
"com.sonymobile.chkbugreport.testapp",".AIDLDeadlockService","5","11m25s979ms","685979","76%","232056","137195"
"com.google.android.gm",".MailIntentService","1","1s582ms","1582","0%","1582","1582"
"android","com.android.internal.service.wallpaper.ImageWallpaper","1","14m48s457ms","888457","98%","888457","888457"
"com.android.vending","com.google.android.finsky.billing.iab.PendingNotificationsService","1","14m25s345ms","865345","95%","865345","865345"
