"Proc","Created count","Total created time","Total created time(ms)","Total created time(%)","Max created time(ms)","Avg created time(ms)","Restart count","Min restart time(ms)","Avg restart time(ms)","Restart after kill count","Min restart after kill time(ms)","Avg restart after kill time(ms)"
"com.miui.supermarket","1","2m42s68ms","162068","81%","162068","162068","0","0","","0","0",""
"com.google.process.gapps","1","3m2s167ms","182167","91%","182167","182167","0","0","","0","0",""
"com.android.voicedialer","1","2m40s6ms","160006","80%","160006","160006","0","0","","0","0",""
"com.android.updater","1","2m51s917ms","171917","86%","171917","171917","0","0","","0","0",""
"com.android.launcher","1","3m3s829ms","183829","92%","183829","183829","0","0","","0","0",""
"com.android.gallery","1","2m38s634ms","158634","79%","158634","158634","0","0","","0","0",""
"com.android.defcontainer","1","21s30ms","21030","10%","21030","21030","0","0","","0","0",""
"com.android.settings","1","2m51s437ms","171437","86%","171437","171437","0","0","","0","0",""
"com.android.inputmethod.latin","1","3m4s320ms","184320","92%","184320","184320","0","0","","0","0",""
"com.android.phone","1","3m4s189ms","184189","92%","184189","184189","0","0","","0","0",""
"com.google.android.partnersetup","1","2m44s750ms","164750","82%","164750","164750","0","0","","0","0",""
"com.android.vending","1","2m53s909ms","173909","87%","173909","173909","0","0","","0","0",""
"com.android.systemui","1","3m4s480ms","184480","92%","184480","184480","0","0","","0","0",""
"com.android.providers.calendar","1","2m49s515ms","169515","85%","169515","169515","0","0","","0","0",""
"com.android.bluetooth","1","2m26s903ms","146903","73%","146903","146903","0","0","","0","0",""
"com.google.android.gm","1","2m26s903ms","146903","73%","146903","146903","0","0","","0","0",""
"com.sonymobile.chkbugreport.testapp","1","18s368ms","18368","9%","18368","18368","0","0","","0","0",""
"android.process.media","1","2m52s228ms","172228","86%","172228","172228","0","0","","0","0",""
"com.miui.backup","1","10s611ms","10611","5%","10611","10611","0","0","","0","0",""
"com.svox.pico","1","20s99ms","20099","10%","20099","20099","0","0","","0","0",""
"com.miui.antispam","1","10s970ms","10970","5%","10970","10970","0","0","","0","0",""
"com.google.android.talk","1","2m41s728ms","161728","81%","161728","161728","0","0","","0","0",""
"com.miui.notes","1","2m50s776ms","170776","85%","170776","170776","0","0","","0","0",""
"com.android.email","1","2m28s95ms","148095","74%","148095","148095","0","0","","0","0",""
"com.android.deskclock","1","2m49s976ms","169976","85%","169976","169976","0","0","","0","0",""
"com.android.mms","1","2m43s499ms","163499","82%","163499","163499","0","0","","0","0",""
"com.miui.uac","1","19s779ms","19779","9%","19779","19779","0","0","","0","0",""
"android.process.acore","1","3m2s778ms","182778","91%","182778","182778","0","0","","0","0",""
