"Databse","Total(ms)","Max(ms)","Avg(ms)","Samples","Pids"
"","4452","1999","890","5",""
"","2028","1211","225","9",""
"","1209","1209","1209","1",""
"","1836","1782","918","2",""
"","276","276","276","1",""
"","78","78","78","1",""
"","157","157","157","1",""
"","1456","802","485","3",""
"","4565","4565","4565","1",""
"","2698","1006","674","4",""
"","1554","820","518","3",""
"","6329","6329","6329","1",""
"","70","70","70","1",""
"","2285","2285","2285","1",""
"","302","302","302","1",""
"","227","227","227","1",""
"","74","74","74","1",""
