"Name","Count","Expire count","Wake count","Active since (ms)","Total time (ms)","Average time (ms)","Sleep time (ms)","Max time (ms)","Last change"
"event2-144","2186","0","0","0","113","0","0","1","211504115541"
"kgsl","1015","0","0","0","39519","38","0","446","211440150698"
"msmfb_idle_lock","1112","0","0","0","296","0","0","289","211414546448"
"event0-144","52","0","0","0","2","0","0","0","208624812564"
"KeyEvents","977","0","0","0","271","0","0","157","193883479554"
"event3-144","974","0","0","0","107","0","0","10","193883357484"
"ds2784-battery","4","0","0","0","642","160","0","441","175854823527"
"alarm_rtc","0","0","0","0","0","0","0","0","0"
"alarm","4","0","0","0","29","7","0","10","170919246141"
"power-supply","6","0","0","0","8","1","0","7","75584895553"
"power-supply","4","0","0","0","18","4","0","16","62451930469"
"power-supply","4","0","0","0","18","4","0","16","62451869434"
"dock","1","0","0","0","26","26","0","26","61750178744"
"SMD_RPCCALL","61","0","0","0","20","0","0","5","61724696564"
"rpc_server","1","0","0","0","0","0","0","0","61723414826"
"rpc_read","1","0","0","0","0","0","0","0","61722743439"
"msm_camera","1","0","0","0","543","543","0","543","51665004211"
"msm_camera_wake","1","0","0","0","543","543","0","543","51664973693"
"s5k3e2fx","1","0","0","0","342","342","0","342","51663569884"
"event6-144","2","0","0","0","0","0","0","0","43033748110"
"GPS","1","0","0","0","1337","1337","0","1337","31909846743"
"radio-interface","4","0","0","0","4002","1000","0","1001","30710689029"
"rpc-interface","3","0","0","0","101","33","0","101","30576411684"
"rpc_read","3","0","0","0","55","18","0","39","30474940738"
"ApmCommandThread","19","0","0","0","773","40","0","760","23868464907"
"event1-144","0","0","0","0","0","0","0","0","0"
"event5-144","0","0","0","0","0","0","0","0","0"
"event4-144","0","0","0","0","0","0","0","0","0"
"audio_pcm_suspend","0","0","0","0","0","0","0","0","0"
"audio_pcm_idle","0","0","0","0","0","0","0","0","0"
"rpc_read","12","0","0","0","0","0","0","0","14900905094"
"rpc_read","2","0","0","0","1","0","0","1","14193416094"
"mmc_delayed_work","1","0","0","0","159","159","0","159","7264662530"
"rpc_read","1","0","0","0","0","0","0","0","7399062059"
"gpio_kp","1","0","0","0","20","20","0","20","6245342462"
"gpio_input","0","0","0","0","0","0","0","0","0"
"SMD_DATA7","0","0","0","0","0","0","0","0","0"
"SMD_DATA6","0","0","0","0","0","0","0","0","0"
"SMD_DATA5","0","0","0","0","0","0","0","0","0"
"msm_serial_hs_dma","0","0","0","0","0","0","0","0","0"
"msm_serial_hs_rx","0","0","0","0","0","0","0","0","0"
"flashlight","0","0","0","0","0","0","0","0","0"
"headset","0","0","0","0","0","0","0","0","0"
"rpc_read","1","0","0","0","0","0","0","0","4283445450"
"microp_i2c_present","0","0","0","0","0","0","0","0","0"
"venc_suspend","0","0","0","0","0","0","0","0","0"
"venc_idle","0","0","0","0","0","0","0","0","0"
"vdec_suspend","0","0","0","0","0","0","0","0","0"
"vdec_idle","0","0","0","0","0","0","0","0","0"
"i2c","0","0","0","0","0","0","0","0","0"
"unknown_wakeups","0","0","0","0","0","0","0","0","0"
"deleted_wake_locks","0","0","0","0","0","0","0","0","0"
"PowerManagerService","7","0","0","149932","172239","24605","0","149932","61776057651"
"vbus_present","1","0","0","149956","149956","149956","0","149956","61752009798"
"main","1","0","0","211478","211478","211478","0","211478","230000002"
"qmi0","1","1","0","0","495","495","0","495","8912211544"
"qmi1","1","1","0","0","494","494","0","494","8913493068"
"qmi2","1","1","0","0","490","490","0","490","8917429177"
"SMD_DS","5","5","0","0","4123","824","0","1311","34414271792"
