"Type","Pkg","Time","Time(ms)","Interv(ms)","Count","OpPkg","OpMet"
"RTC_WAKEUP","com.android.providers.calendar","+21h59m51s443ms","79191443","0","0","com.android.providers.calendar","broadcastIntent"
"RTC_WAKEUP","com.google.android.gsf","+19m56s645ms","1196645","1800000","0","com.google.android.gsf","broadcastIntent"
"RTC","com.android.updater","+6d9h58m50s235ms","554330235","604800000","0","com.android.updater","startService"
"RTC","android","+19h48m57s668ms","71337668","0","0","android","broadcastIntent"
"RTC","com.miui.supermarket","+8h49m32s213ms","31772213","86400000","0","com.miui.supermarket","startService"
"RTC","com.android.updater","+8h36m50s228ms","31010228","86400000","0","com.android.updater","startService"
"RTC","com.android.providers.calendar","+5h58m50s752ms","21530752","0","0","com.android.providers.calendar","broadcastIntent"
"RTC","android","+57s668ms","57668","0","0","android","broadcastIntent"
"ELAPSED_WAKEUP","android","+11h58m34s149ms","43114149","43200000","0","android","broadcastIntent"
"ELAPSED","com.android.updater","+1d11h58m34s149ms","129514149","86400000","0","com.android.updater","startService"
"ELAPSED","android","+9m57s956ms","597956","0","0","android","broadcastIntent"
"ELAPSED","com.android.vending","+8m40s365ms","520365","86400000","0","com.android.vending","broadcastIntent"
