"Proc","Created count","Total created time","Total created time(ms)","Total created time(%)","Max created time(ms)","Avg created time(ms)","Restart count","Min restart time(ms)","Avg restart time(ms)","Restart after kill count","Min restart after kill time(ms)","Avg restart after kill time(ms)"
"com.miui.supermarket","1","1m7s796ms","67796","66%","67796","67796","0","0","","0","0",""
"com.google.process.gapps","1","1m27s305ms","87305","85%","87305","87305","0","0","","0","0",""
"com.android.voicedialer","1","1m6s925ms","66925","65%","66925","66925","0","0","","0","0",""
"com.android.updater","1","1m16s4ms","76004","74%","76004","76004","0","0","","0","0",""
"com.android.launcher","1","1m28s927ms","88927","86%","88927","88927","0","0","","0","0",""
"com.android.gallery","1","1m6s44ms","66044","64%","66044","66044","0","0","","0","0",""
"com.android.defcontainer","1","12s132ms","12132","11%","12132","12132","0","0","","0","0",""
"com.android.settings","1","1m15s393ms","75393","73%","75393","75393","0","0","","0","0",""
"com.android.inputmethod.latin","1","1m29s377ms","89377","87%","89377","89377","0","0","","0","0",""
"com.android.phone","1","1m29s27ms","89027","86%","89027","89027","0","0","","0","0",""
"com.google.android.partnersetup","1","1m10s88ms","70088","68%","70088","70088","0","0","","0","0",""
"com.android.vending","1","1m18s486ms","78486","76%","78486","78486","0","0","","0","0",""
"com.android.systemui","1","1m29s577ms","89577","87%","89577","89577","0","0","","0","0",""
"com.android.providers.calendar","1","1m13s732ms","73732","71%","73732","73732","0","0","","0","0",""
"com.android.bluetooth","1","59s958ms","59958","58%","59958","59958","0","0","","0","0",""
"com.google.android.gm","1","1m0s529ms","60529","58%","60529","60529","0","0","","0","0",""
"com.sonymobile.chkbugreport.testapp","1","9s49ms","9049","8%","9049","9049","0","0","","0","0",""
"android.process.media","1","1m16s444ms","76444","74%","76444","76444","0","0","","0","0",""
"com.miui.backup","1","7s497ms","7497","7%","7497","7497","0","0","","0","0",""
"com.svox.pico","1","10s750ms","10750","10%","10750","10750","0","0","","0","0",""
"com.miui.antispam","1","8s8ms","8008","7%","8008","8008","0","0","","0","0",""
"com.google.android.talk","1","1m7s586ms","67586","65%","67586","67586","0","0","","0","0",""
"com.sonymobile.chkbugreport.testapp:ext2","1","4s785ms","4785","4%","4785","4785","0","0","","0","0",""
"com.miui.notes","1","1m14s873ms","74873","72%","74873","74873","0","0","","0","0",""
"com.android.email","1","1m0s769ms","60769","59%","60769","60769","0","0","","0","0",""
"com.android.deskclock","1","1m14s122ms","74122","72%","74122","74122","0","0","","0","0",""
"com.android.mms","1","1m9s77ms","69077","67%","69077","69077","0","0","","0","0",""
"com.miui.uac","1","11s81ms","11081","10%","11081","11081","0","0","","0","0",""
"android.process.acore","1","1m27s685ms","87685","85%","87685","87685","0","0","","0","0",""
