"Pkg","Cls","Created count","Total created time","Total created time(ms)","Total created time(%)","Max created time(ms)","Avg created time(ms)"
"com.android.inputmethod.latin",".LatinIME","1","1m28s927ms","88927","86%","88927","88927"
"com.android.email",".service.EmailBroadcastProcessorService","1","671ms","671","0%","671","671"
"com.google.android.gm",".downloadprovider.DownloadService","1","4s905ms","4905","4%","4905","4905"
"com.android.stk",".StkAppService","1","1m7s806ms","67806","66%","67806","67806"
"com.android.providers.calendar",".CalendarAppWidgetService","3","3s443ms","3443","3%","1561","1147"
"com.android.providers.downloads",".DownloadService","1","6s316ms","6316","6%","6316","6316"
"com.google.android.backup",".BackupTransportService","1","1m29s687ms","89687","87%","89687","89687"
"com.android.providers.media",".MediaScannerService","1","4s334ms","4334","4%","4334","4334"
"com.google.android.location",".NetworkLocationService","1","1m24s552ms","84552","82%","84552","84552"
"com.google.android.gsf",".gtalkservice.service.GTalkService","1","1m7s265ms","67265","65%","67265","67265"
"com.google.android.partnersetup",".AppHiderService","1","1s852ms","1852","1%","1852","1852"
"com.android.phone",".BluetoothHeadsetService","1","1m26s254ms","86254","84%","86254","86254"
"com.google.android.gsf",".loginservice.GoogleLoginService","4","5s966ms","5966","5%","5035","1491"
"com.sonymobile.chkbugreport.testapp",".HybridDeadlockService","1","4s684ms","4684","4%","4684","4684"
"com.google.android.gsf",".checkin.CheckinService","1","1s281ms","1281","1%","1281","1281"
"com.android.email","com.android.exchange.SyncManager","1","711ms","711","0%","711","711"
"com.android.defcontainer",".DefaultContainerService","1","110ms","110","0%","110","110"
"com.android.providers.calendar",".EmptyService","1","6s377ms","6377","6%","6377","6377"
"com.android.bluetooth",".opp.BluetoothOppService","1","1s432ms","1432","1%","1432","1432"
"com.google.android.gsf",".update.SystemUpdateService","1","521ms","521","0%","521","521"
"com.google.android.talk",".videochat.RefreshCameraStateProcessorService","1","1s611ms","1611","1%","1611","1611"
"com.android.systemui",".statusbar.StatusBarService","1","1m29s407ms","89407","87%","89407","89407"
"com.android.mms",".transaction.SmsReceiverService","1","2s432ms","2432","2%","2432","2432"
"com.google.android.gm",".MailIntentService","1","1s631ms","1631","1%","1631","1631"
"android","com.android.internal.service.wallpaper.ImageWallpaper","1","1m29s397ms","89397","87%","89397","89397"
"com.android.vending","com.google.android.finsky.billing.iab.PendingNotificationsService","1","1m6s234ms","66234","64%","66234","66234"
