"Name","Count","Expire count","Wake count","Active since (ms)","Total time (ms)","Average time (ms)","Sleep time (ms)","Max time (ms)","Last change"
"kgsl","1313","0","0","0","46535","35","0","439","118130159668"
"msmfb_idle_lock","1329","0","0","0","298","0","0","290","118109712889"
"alarm","3","0","0","0","27","9","0","13","118076296142"
"event2-151","939","0","0","0","45","0","0","0","118022310546"
"KeyEvents","226","0","0","0","169","0","0","128","112967500966"
"event3-151","225","0","0","0","30","0","0","0","112967439931"
"power-supply","8","0","0","0","1","0","0","0","108190523437"
"ds2784-battery","3","0","0","0","523","174","0","368","108190340331"
"alarm_rtc","0","0","0","0","0","0","0","0","0"
"msm_camera","1","0","0","0","698","698","0","698","53109072021"
"msm_camera_wake","1","0","0","0","698","698","0","698","53109041504"
"s5k3e2fx","1","0","0","0","372","372","0","372","53108187012"
"GPS","1","0","0","0","1412","1412","0","1412","36069216064"
"radio-interface","4","0","0","0","4003","1000","0","1001","34750826172"
"SMD_RPCCALL","60","0","0","0","17","0","0","6","34658693603"
"rpc-interface","3","0","0","0","121","40","0","98","34656709961"
"rpc_read","2","0","0","0","178","89","0","178","34633974365"
"event0-151","6","0","0","0","0","0","0","0","28480287841"
"ApmCommandThread","19","0","0","0","694","36","0","685","27545961669"
"event1-151","0","0","0","0","0","0","0","0","0"
"event5-151","0","0","0","0","0","0","0","0","0"
"event6-151","0","0","0","0","0","0","0","0","0"
"event4-151","0","0","0","0","0","0","0","0","0"
"audio_pcm_suspend","0","0","0","0","0","0","0","0","0"
"audio_pcm_idle","0","0","0","0","0","0","0","0","0"
"rpc_read","12","0","0","0","0","0","0","0","19267854979"
"rpc_read","2","0","0","0","1","0","0","1","18598970703"
"power-supply","5","0","0","0","9","1","0","7","14499239265"
"power-supply","5","0","0","0","9","1","0","7","14499147713"
"dock","1","0","0","0","20","20","0","20","10120078682"
"rpc_server","1","0","0","0","0","0","0","0","10099144316"
"rpc_read","1","0","0","0","0","0","0","0","10098808634"
"mmc_delayed_work","1","0","0","0","163","163","0","163","7427606406"
"rpc_read","1","0","0","0","0","0","0","0","7557337056"
"gpio_input","0","0","0","0","0","0","0","0","0"
"gpio_kp","1","0","0","0","14","14","0","14","6529496880"
"SMD_DATA7","0","0","0","0","0","0","0","0","0"
"SMD_DATA6","0","0","0","0","0","0","0","0","0"
"SMD_DATA5","0","0","0","0","0","0","0","0","0"
"msm_serial_hs_dma","0","0","0","0","0","0","0","0","0"
"msm_serial_hs_rx","0","0","0","0","0","0","0","0","0"
"flashlight","0","0","0","0","0","0","0","0","0"
"headset","0","0","0","0","0","0","0","0","0"
"rpc_read","1","0","0","0","0","0","0","0","4585214148"
"microp_i2c_present","0","0","0","0","0","0","0","0","0"
"venc_suspend","0","0","0","0","0","0","0","0","0"
"venc_idle","0","0","0","0","0","0","0","0","0"
"vdec_suspend","0","0","0","0","0","0","0","0","0"
"vdec_idle","0","0","0","0","0","0","0","0","0"
"i2c","0","0","0","0","0","0","0","0","0"
"unknown_wakeups","0","0","0","0","0","0","0","0","0"
"deleted_wake_locks","0","0","0","0","0","0","0","0","0"
"PowerManagerService","1","0","0","91129","91129","91129","0","91129","27029482177"
"vbus_present","1","0","0","108038","108038","108038","0","108038","10120627981"
"main","1","0","0","117929","117929","117929","0","117929","230000002"
"qmi0","1","1","0","0","489","489","0","489","14496523201"
"qmi2","1","1","0","0","488","488","0","488","14497164070"
"qmi1","1","1","0","0","488","488","0","488","14497164070"
"SMD_DS","6","6","0","0","4662","777","0","1138","38474031738"
